0	0
2	3
3	18
4	19
5	23
7	26
8	35
10	44
6	50
14	61
15	62
16	68
17	93
18	94
20	140
11	149
21	158
22	160
23	167
24	176
25	184
26	205
27	206
28	209
29	215
30	227
31	234
32	241
16	249
33	260
31	263
34	265
35	271
36	283
37	288
38	288
39	288
40	288
41	288
42	288
43	288
44	291
45	292
16	299
47	308
49	317
50	319
51	325
52	337
53	345
54	352
55	354
56	362
57	363
58	366
59	370
62	388
63	391
45	392
45	393
66	423
67	428
68	431
69	434
71	440
31	443
73	450
75	485
76	489
77	530
40	530
78	530
79	530
80	531
80	536
82	553
84	567
85	572
86	585
88	588
89	589
90	596
93	625
94	627
95	631
97	644
99	662
100	678
102	702
105	737
105	741
106	746
107	748
110	751
111	754
112	760
113	763
113	765
113	766
88	776
114	789
115	795
116	813
116	816
117	817
118	825
119	826
121	828
122	832
123	834
124	838
126	844
127	854
128	855
124	859
129	860
130	860
131	877
127	878
132	882
133	921
134	923
135	931
136	933
137	965
138	967
139	969
142	995
144	1012
145	1014
146	1016
147	1043
149	1048
150	1065
151	1065
153	1080
154	1082
155	1089
156	1091
157	1092
158	1096
159	1098
162	1160
163	1186
164	1188
165	1189
166	1201
168	1211
169	1211
171	1221
172	1221
173	1246
174	1252
175	1252
176	1256
177	1258
178	1259
179	1260
180	1260
181	1319
182	1336
184	1424
185	1427
186	1435
187	1451
188	1466
189	1468
190	1477
191	1479
192	1485
193	1496
194	1499
195	1505
196	1509
197	1512
198	1521
199	1524
200	1525
201	1530
202	1533
204	1548
205	1559
205	1561
206	1568
208	1623
116	1629
116	1630
116	1632
116	1633
116	1634
209	1641
210	1645
211	1652
212	1653
214	1661
215	1663
216	1676
217	1683
117	1706
219	1714
220	1715
72	1731
222	1734
223	1736
224	1737
225	1744
226	1747
227	1748
228	1761
229	1762
230	1769
231	1773
232	1779
233	1787
234	1788
235	1793
236	1798
237	1806
239	1815
240	1820
111	1825
242	1848
243	1853
244	1863
246	1886
247	1904
249	1913
250	1914
251	1922
253	1930
254	1936
255	1940
256	1956
260	1984
262	2006
262	2007
263	2030
264	2046
266	2059
267	2062
172	2074
270	2075
271	2080
273	2086
274	2099
275	2104
276	2104
277	2104
278	2104
279	2104
281	2114
282	2115
283	2116
285	2124
284	2125
286	2126
289	2162
290	2168
292	2192
293	2200
294	2202
295	2203
296	2204
297	2205
298	2206
299	2207
300	2210
302	2211
303	2212
305	2217
131	2226
306	2260
307	2261
308	2269
309	2273
310	2288
312	2301
313	2306
315	2314
316	2315
317	2329
318	2332
258	2333
319	2334
72	2335
320	2343
321	2345
323	2375
52	2392
325	2396
326	2410
327	2439
328	2465
329	2475
330	2484
332	2513
333	2514
334	2514
335	2515
337	2537
339	2558
340	2560
341	2569
342	2589
343	2602
344	2603
345	2605
346	2607
347	2614
350	2630
351	2630
357	2643
358	2647
359	2649
360	2656
361	2656
362	2661
363	2675
364	2676
365	2677
366	2684
368	2698
369	2698
370	2706
325	2716
372	2717
373	2729
374	2738
324	2745
376	2752
378	2755
379	2755
380	2755
381	2755
382	2755
383	2755
385	2756
386	2756
387	2757
388	2768
389	2772
391	2776
392	2781
396	2810
377	2812
397	2819
398	2831
399	2833
400	2833
401	2834
19	2835
403	2843
404	2845
405	2849
406	2884
407	2885
408	2886
290	2891
409	2896
410	2909
411	2912
413	2917
414	2921
415	2921
416	2926
417	2927
419	2934
420	2936
421	2937
423	2938
424	2938
425	2939
426	2939
427	2949
428	2949
430	2973
431	2977
432	2980
433	3000
434	3006
435	3007
436	3020
437	3027
438	3028
232	3042
439	3043
440	3047
441	3049
442	3064
443	3065
444	3072
445	3089
446	3096
448	3112
449	3118
451	3126
452	3127
453	3128
454	3142
455	3142
456	3142
458	3149
459	3150
290	3151
460	3155
462	3166
463	3175
464	3177
262	3185
465	3191
395	3212
467	3222
468	3224
468	3225
469	3227
470	3230
471	3232
472	3236
473	3244
475	3251
